time, Quad.IMU.AX
0.644995,-0.110856
0.649995,0.298123
0.654995,0.612452
0.659995,-0.091202
0.664995,0.566739
0.669995,0.042507
0.674995,0.177943
0.679995,-0.616472
0.684995,0.044499
0.689995,0.013915
0.694995,0.578066
0.699995,0.577158
0.704994,-0.224687
0.709994,0.629784
0.714994,-0.252230
0.719994,-0.020778
0.724994,0.748856
0.729994,0.032731
0.734994,0.613217
0.739994,-0.688280
0.744994,0.616320
0.749994,-0.050317
0.754994,-0.212214
0.759994,0.238056
0.764994,0.402964
0.769994,-0.478143
0.774994,0.725190
0.779994,-0.099824
0.784993,-0.130249
0.789993,0.537622
0.794993,-0.937672
0.799993,-0.123043
0.804993,0.144440
0.809993,-0.390444
0.814993,-0.233496
0.819993,-0.179968
0.824993,0.446996
0.829993,0.056922
0.834993,0.301737
0.839993,0.049344
0.844993,0.627129
0.849993,-0.088171
0.854993,-0.110981
0.859993,-0.350179
0.864992,-0.171457
0.869992,-0.474410
0.874992,0.108741
0.879992,-0.095209
0.884992,-0.393971
0.889992,-0.672418
0.894992,-0.700771
0.899992,0.472875
0.904992,-0.017219
0.909992,0.192617
0.914992,-0.329310
0.919992,-0.371355
0.924992,-0.259014
0.929992,0.473108
0.934992,-0.445095
0.939991,0.302673
0.944991,-0.237306
0.949991,1.253513
0.954991,-0.660541
0.959991,0.481038
0.964991,1.187445
0.969991,-0.732032
0.974991,0.963360
0.979991,-0.684666
0.984991,0.176143
0.989991,0.632386
0.994991,-0.610003
0.999991,0.243351
1.004991,0.146539
1.009991,-0.000657
1.014991,0.928373
1.019992,0.598148
1.024992,-0.100746
1.029992,-0.691752
1.034992,-0.000713
1.039993,-0.018628
1.044993,-0.060985
1.049993,0.704123
1.054993,-0.081281
1.059994,-0.162992
1.064994,-0.064152
1.069994,-0.292665
1.074994,-0.172709
1.079994,0.558996
1.084995,0.119642
1.089995,-0.126384
1.094995,-0.099348
1.099995,0.462901
1.104996,-0.135484
1.109996,0.513778
1.114996,-0.259024
1.119996,-0.120211
1.124997,-0.346365
1.129997,-0.796805
1.134997,0.362703
1.139997,0.162010
1.144997,-0.320447
1.149998,1.032599
1.154998,0.394691
1.159998,0.002952
1.164998,-0.367753
1.169999,-0.123126
1.174999,0.461650
1.179999,0.264488
1.184999,-0.457655
1.190000,-0.427010
1.195000,-0.027899
1.200000,-0.157387
1.205000,0.084145
1.210001,0.107896
1.215001,-0.186054
1.220001,-0.812378
1.225001,0.725774
1.230001,0.031099
1.235002,-0.451111
1.240002,-0.523855
1.245002,-0.230857
1.250002,-1.013988
1.255003,0.267400
1.260003,0.928679
1.265003,-0.346132
1.270003,-0.044365
1.275004,0.518740
1.280004,0.451749
1.285004,0.295276
1.290004,-0.898118
1.295004,0.107519
1.300005,0.235486
1.305005,0.059820
1.310005,-0.529729
1.315005,0.052275
1.320006,-0.164201
1.325006,0.371400
1.330006,0.020373
1.335006,-0.253775
1.340007,0.244194
1.345007,-0.419129
1.350007,0.128223
1.355007,-0.728583
1.360008,-0.230309
1.365008,-0.160547
1.370008,-0.288196
1.375008,1.212454
1.380008,-0.572284
1.385009,0.219040
1.390009,-0.131546
1.395009,0.184014
1.400009,-0.009496
1.405010,1.170271
1.410010,-0.150336
1.415010,-0.366133
1.420010,0.456712
1.425011,-0.367914
1.430011,0.895245
1.435011,-0.053252
1.440011,-0.140042
1.445011,0.494004
1.450012,-0.001146
1.455012,-0.653404
1.460012,-0.213117
1.465012,0.221290
1.470013,0.209879
1.475013,0.685272
1.480013,-0.849948
1.485013,-0.447252
1.490014,0.440455
1.495014,0.573024
1.500014,0.154096
1.505014,0.068908
1.510015,0.466380
1.515015,-0.048127
1.520015,0.180503
1.525015,0.518240
1.530015,0.205470
1.535016,-0.849340
1.540016,0.010331
1.545016,-0.189761
1.550016,0.365060
1.555017,0.193537
1.560017,0.531313
1.565017,0.653832
1.570017,0.387766
1.575018,-0.895613
1.580018,-0.189684
1.585018,-0.639772
1.590018,-0.044317
1.595019,-0.153896
1.600019,-0.762021
1.605019,0.024704
1.610019,0.025911
1.615019,0.121113
1.620020,-1.076671
1.625020,-0.129787
1.630020,-0.443141
1.635020,0.641585
1.640021,0.453537
1.645021,-0.240587
1.650021,-0.558663
1.655021,-0.197102
1.660022,0.201779
1.665022,0.444041
1.670022,0.727840
1.675022,0.666053
1.680022,0.717033
1.685023,0.498938
1.690023,0.657458
1.695023,-0.001877
1.700023,0.057703
1.705024,-0.671982
1.710024,0.211456
1.715024,-0.115405
1.720024,-0.836499
1.725025,-0.139149
1.730025,-0.741563
1.735025,0.055647
1.740025,-0.037804
1.745026,0.339779
1.750026,0.107195
1.755026,-0.370550
1.760026,0.187674
1.765026,-0.047452
1.770027,0.253229
1.775027,-0.682325
1.780027,0.026151
1.785027,0.178441
1.790028,0.273949
1.795028,-0.203846
1.800028,0.461760
1.805028,-0.555897
1.810029,0.039537
1.815029,0.341658
1.820029,0.541451
1.825029,-0.377551
1.830029,0.098201
1.835030,-0.375282
1.840030,-0.554043
1.845030,0.494103
1.850030,0.302283
1.855031,-0.190401
1.860031,-0.772884
1.865031,-0.271721
1.870031,0.542528
1.875032,0.368288
1.880032,0.083215
1.885032,-0.216612
1.890032,-0.828489
1.895033,0.084306
1.900033,-0.162844
1.905033,-1.193094
1.910033,0.397749
1.915033,0.082678
1.920034,-0.606933
1.925034,0.094928
1.930034,0.617245
1.935034,-0.068430
1.940035,0.206312
1.945035,-0.047337
1.950035,0.422820
1.955035,-0.087757
1.960036,-0.410290
1.965036,-0.593865
1.970036,0.531830
1.975036,-0.408171
1.980036,-0.227869
1.985037,0.385182
1.990037,-0.331068
1.995037,0.391755
2.000037,0.174196
2.005037,-0.433958
2.010037,0.332486
2.015036,0.179823
2.020036,0.190617
2.025036,0.189048
2.030035,-0.395540
2.035035,0.581661
2.040035,0.352490
2.045034,-0.494049
2.050034,0.056841
2.055033,0.825115
2.060033,-0.212528
2.065033,-0.330735
2.070032,-0.006838
2.075032,-0.260226
2.080032,-0.389735
2.085031,0.598387
2.090031,0.103857
2.095031,-0.544163
2.100030,0.323965
2.105030,-0.137696
2.110029,0.919401
2.115029,-0.684837
2.120029,-0.271702
2.125028,0.016472
2.130028,0.764261
2.135028,-0.315409
2.140027,-1.866650
2.145027,0.331350
2.150027,-0.221241
2.155026,0.165717
2.160026,0.509965
2.165025,-0.295735
2.170025,-0.690799
2.175025,-0.430535
2.180024,0.181883
2.185024,0.462177
2.190024,-0.069145
2.195023,0.299838
2.200023,-0.544910
2.205023,0.068616
2.210022,0.707794
2.215022,1.247777
2.220021,-0.287529
2.225021,-0.602712
2.230021,0.371807
2.235020,-0.019543
2.240020,-0.023461
2.245020,-0.562198
2.250019,-0.704873
2.255019,-0.955322
2.260019,-1.357576
2.265018,-0.199588
2.270018,0.176763
2.275017,0.303075
2.280017,0.739507
2.285017,-0.247746
2.290016,0.043760
2.295016,-0.728518
2.300016,0.900239
2.305015,0.051517
2.310015,0.779375
2.315015,0.354686
